freq,siec,partner,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,G3000,RU,MIO_M3,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,RU,MIO_M3,AT	8537.000 	8950.000 	6562.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,RU,MIO_M3,BA	: 	: 	: 	186.000 	218.000 	227.000 	245.000 	244.604 	230.980 	210.686 
A,G3000,RU,MIO_M3,BE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	328.300 	1900.800 	1409.800 
A,G3000,RU,MIO_M3,BG	2764.000 	2485.000 	2698.000 	2683.000 	3010.000 	3094.000 	3268.781 	3111.458 	2342.221 	2201.204 
A,G3000,RU,MIO_M3,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,RU,MIO_M3,CZ	9041.000 	7468.000 	8464.000 	6550.000 	7460.000 	8121.000 	8817.000 	7968.390 	9507.601 	7589.967 
A,G3000,RU,MIO_M3,DE	32859.000 	32632.000 	39977.000 	37201.000 	43626.000 	58671.000 	62079.783 	43108.053 	46249.986 	52463.565 
A,G3000,RU,MIO_M3,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,RU,MIO_M3,EA19	89246.661 	87320.628 	105431.315 	88092.893 	98430.536 	119974.988 	126812.027 	117901.499 	126095.282 	120572.845 
A,G3000,RU,MIO_M3,EE	632.000 	657.000 	678.000 	530.000 	471.000 	518.000 	502.000 	523.000 	481.000 	206.600 
A,G3000,RU,MIO_M3,EL	2848.000 	2453.000 	2574.000 	1714.000 	1947.000 	2633.000 	2893.560 	3232.030 	1685.818 	2304.719 
A,G3000,RU,MIO_M3,ES	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	868.000 	3168.000 	3387.000 
A,G3000,RU,MIO_M3,EU27_2020	121737.661 	117526.628 	135322.315 	115288.893 	124319.536 	151739.988 	163096.851 	152122.956 	166252.238 	152648.740 
A,G3000,RU,MIO_M3,EU28	121737.661 	117526.628 	135322.315 	115288.893 	124319.536 	151739.988 	163195.471 	153408.869 	169215.809 	: 
