freq,siec,partner,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,G3000,TOTAL,MIO_M3,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,TOTAL,MIO_M3,AT	13381.378 	14171.632 	10379.164 	10119.522 	11890.337 	14434.033 	13923.121 	13055.236 	14191.254 	16455.858 
A,G3000,TOTAL,MIO_M3,BA	: 	: 	: 	186.000 	218.000 	227.000 	245.000 	244.604 	230.980 	210.686 
A,G3000,TOTAL,MIO_M3,BE	21840.000 	18922.000 	19155.000 	16845.800 	18766.100 	18232.800 	17865.900 	19799.800 	23227.300 	21665.700 
A,G3000,TOTAL,MIO_M3,BG	2764.000 	2485.000 	2698.000 	2683.000 	3010.000 	3094.000 	3268.781 	3115.070 	2949.968 	2925.938 
A,G3000,TOTAL,MIO_M3,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,TOTAL,MIO_M3,CZ	9321.000 	7471.000 	8468.000 	7249.000 	7474.000 	8123.000 	8889.000 	8007.991 	9533.193 	7589.967 
A,G3000,TOTAL,MIO_M3,DE	89645.000 	88401.000 	97777.000 	89896.000 	102517.000 	97379.000 	118694.443 	88347.545 	94786.760 	80439.019 
A,G3000,TOTAL,MIO_M3,DK	841.000 	918.000 	1363.000 	624.999 	661.672 	683.855 	520.291 	389.005 	1138.958 	2666.482 
A,G3000,TOTAL,MIO_M3,EA19	337165.754 	329991.749 	331710.881 	310512.248 	337287.851 	343635.218 	384348.819 	360301.824 	384805.522 	352063.084 
A,G3000,TOTAL,MIO_M3,EE	632.000 	657.000 	678.000 	530.000 	471.000 	518.000 	510.000 	524.000 	485.700 	447.000 
A,G3000,TOTAL,MIO_M3,EL	4759.000 	4377.000 	3864.000 	2931.000 	3162.000 	4067.000 	4975.095 	4902.130 	5221.617 	5902.732 
A,G3000,TOTAL,MIO_M3,ES	35489.000 	35062.000 	35489.000 	36384.000 	32391.000 	32405.000 	34626.000 	34817.000 	37209.000 	32485.000 
A,G3000,TOTAL,MIO_M3,EU27_2020	375170.754 	366658.749 	368718.881 	344438.247 	369409.523 	382492.073 	430202.169 	404571.500 	440299.018 	400589.360 
A,G3000,TOTAL,MIO_M3,EU28	429792.754 	417374.749 	418027.881 	388307.447 	414874.606 	431032.498 	477757.532 	451678.957 	487973.354 	: 
A,G3000,TOTAL,MIO_M3,FI	4121.000 	3684.000 	3488.000 	3063.000 	2713.000 	2496.000 	2322.000 	2641.000 	2594.000 	2568.000 
A,G3000,TOTAL,MIO_M3,FR	50036.882 	48060.439 	48205.567 	45436.533 	44487.899 	46536.484 	48638.995 	49442.320 	54948.085 	46321.129 
A,G3000,TOTAL,MIO_M3,GE	: 	: 	1968.244 	2243.343 	2554.059 	2310.694 	2390.407 	2357.087 	2685.768 	2690.837 
A,G3000,TOTAL,MIO_M3,HR	876.000 	1358.000 	1270.000 	1133.000 	1050.000 	1265.000 	1818.300 	1589.200 	2003.400 	2143.700 
A,G3000,TOTAL,MIO_M3,HU	8019.000 	8173.000 	8176.000 	8942.000 	6790.000 	8619.000 	13367.000 	12746.000 	18647.000 	12193.000 
A,G3000,TOTAL,MIO_M3,IE	4631.781 	4521.807 	4371.000 	4245.621 	4234.000 	2004.000 	1652.587 	2040.651 	2852.223 	3437.000 
A,G3000,TOTAL,MIO_M3,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,TOTAL,MIO_M3,IT	70369.000 	67725.000 	61966.000 	55757.000 	61266.000 	65284.000 	69650.038 	67872.446 	71065.255 	66392.830 
A,G3000,TOTAL,MIO_M3,LI	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	25.019 
A,G3000,TOTAL,MIO_M3,LT	3349.000 	3263.000 	2661.000 	2640.000 	2588.000 	2258.000 	2501.000 	2295.000 	2749.000 	2862.100 
A,G3000,TOTAL,MIO_M3,LU	1182.713 	1209.871 	1030.150 	972.772 	874.777 	803.881 	784.763 	778.526 	779.366 	703.545 
A,G3000,TOTAL,MIO_M3,LV	1755.000 	1716.000 	1698.000 	947.000 	1306.000 	1132.000 	1242.660 	1414.807 	1353.952 	1114.949 
A,G3000,TOTAL,MIO_M3,MD	1152.000 	1095.000 	1031.000 	1053.000 	1008.000 	1038.000 	1033.482 	1129.700 	1039.600 	1056.000 
A,G3000,TOTAL,MIO_M3,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
