freq,siec,partner,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,O4000,RU,THS_T,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	63.756 	51.929 	86.984 
A,O4000,RU,THS_T,AT	1214.315 	1180.611 	1112.057 	650.590 	782.432 	960.784 	525.553 	284.513 	371.716 	804.759 
A,O4000,RU,THS_T,BA	: 	: 	: 	951.000 	928.000 	929.000 	856.000 	521.410 	0.316 	11.276 
A,O4000,RU,THS_T,BE	16036.000 	14928.000 	16597.000 	16873.000 	15089.000 	15651.000 	20956.000 	16721.900 	14062.000 	11708.400 
A,O4000,RU,THS_T,BG	5725.000 	6483.000 	6578.000 	6219.000 	5939.000 	5704.000 	4790.585 	4290.658 	5036.777 	571.964 
A,O4000,RU,THS_T,CY	2.000 	47.000 	27.000 	4.000 	6.000 	74.000 	7.670 	12.564 	55.903 	26.218 
A,O4000,RU,THS_T,CZ	4125.000 	4569.000 	4241.000 	4176.000 	4039.000 	3449.000 	4117.000 	4034.000 	3843.000 	3027.000 
A,O4000,RU,THS_T,DE	37296.000 	37378.000 	35625.000 	36295.000 	38025.000 	43084.000 	41392.000 	37716.000 	33795.000 	34902.000 
A,O4000,RU,THS_T,DK	1171.000 	301.000 	1744.000 	2451.000 	4553.225 	4603.094 	2284.875 	1655.468 	1261.000 	1735.621 
A,O4000,RU,THS_T,EA19	168295.861 	163853.688 	168336.170 	161350.117 	162545.420 	176026.669 	175117.353 	163644.594 	145463.540 	131288.412 
A,O4000,RU,THS_T,EE	109.290 	620.990 	274.510 	287.000 	412.000 	457.000 	563.000 	627.000 	534.434 	714.560 
A,O4000,RU,THS_T,EL	6039.000 	9075.000 	8632.000 	8543.000 	8232.000 	6809.000 	6555.475 	7675.754 	6664.651 	8244.442 
A,O4000,RU,THS_T,ES	11370.000 	9406.000 	9208.000 	9355.000 	6203.000 	6821.000 	5118.000 	2625.000 	4113.000 	4096.000 
