freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,GAE,O4000XBIO,KTOE,AL	1279.287 	1248.964 	1238.833 	1089.853 	1292.670 	1363.144 	1223.053 	1272.804 	1354.351 	1185.606 	1258.737 	1094.521 
A,GAE,O4000XBIO,KTOE,AT	12647.801 	13040.402 	12244.800 	11986.108 	12264.630 	11907.243 	12022.200 	12278.323 	12303.747 	12490.979 	12886.974 	11114.261 
A,GAE,O4000XBIO,KTOE,BA	: 	: 	: 	: 	: 	1478.543 	1532.726 	1740.680 	1732.237 	1691.220 	1659.974 	1545.175 
A,GAE,O4000XBIO,KTOE,BE	30552.871 	32105.484 	29589.107 	27762.407 	28797.282 	28708.708 	29288.465 	29578.771 	30305.133 	32180.973 	30200.952 	26044.676 
A,GAE,O4000XBIO,KTOE,BG	4573.189 	4105.015 	3883.997 	4072.408 	3749.984 	4087.105 	4425.072 	4417.285 	4620.522 	4703.479 	4827.892 	4397.124 
A,GAE,O4000XBIO,KTOE,CY	2936.099 	2811.782 	2776.845 	2599.409 	2299.458 	2330.931 	2369.900 	2572.326 	2623.583 	2627.532 	2609.186 	2231.709 
A,GAE,O4000XBIO,KTOE,CZ	9529.492 	9296.314 	9054.179 	8917.288 	8566.012 	9104.043 	8905.423 	8307.679 	9672.407 	9814.983 	9867.998 	8609.930 
A,GAE,O4000XBIO,KTOE,DE	114639.601 	115961.204 	112131.706 	112094.047 	114384.920 	112031.934 	112284.158 	113590.283 	115461.197 	110161.655 	111341.751 	100784.472 
A,GAE,O4000XBIO,KTOE,DK	8020.627 	8513.314 	8042.780 	7642.474 	7449.591 	7394.339 	7449.556 	7497.054 	7539.070 	7662.102 	7671.754 	6359.524 
A,GAE,O4000XBIO,KTOE,EA19	507659.508 	501805.648 	488061.765 	466519.911 	456405.702 	450145.909 	456481.996 	458978.126 	466257.584 	459275.601 	457154.516 	395767.818 
A,GAE,O4000XBIO,KTOE,EE	817.979 	814.946 	756.859 	960.037 	922.371 	771.008 	617.646 	727.446 	528.142 	428.411 	213.627 	251.035 
A,GAE,O4000XBIO,KTOE,EL	19239.544 	17245.728 	15925.839 	15038.565 	13112.679 	13402.775 	13832.402 	13994.347 	14056.766 	13631.947 	14318.367 	11194.104 
A,GAE,O4000XBIO,KTOE,ES	72005.054 	69341.413 	66749.312 	61880.195 	58081.301 	57768.009 	59961.551 	61703.346 	63981.470 	64513.363 	63312.047 	52046.121 
A,GAE,O4000XBIO,KTOE,EU27_2020	589379.667 	585599.291 	570335.379 	544959.021 	530421.752 	525329.172 	531842.386 	538004.184 	552058.067 	547113.169 	545109.877 	475747.723 
A,GAE,O4000XBIO,KTOE,FI	10015.781 	10256.742 	10128.969 	9425.681 	8488.320 	9532.714 	8727.475 	9506.607 	9174.259 	9185.763 	8870.506 	8152.937 
A,GAE,O4000XBIO,KTOE,FR	88709.351 	85011.935 	87726.638 	85061.844 	82960.723 	82104.411 	82942.854 	80216.142 	80891.994 	78480.372 	79010.923 	65921.054 
A,GAE,O4000XBIO,KTOE,GE	: 	: 	: 	: 	1072.382 	1128.151 	1267.651 	1505.132 	1391.764 	1377.043 	1487.474 	1374.769 
A,GAE,O4000XBIO,KTOE,HR	4385.857 	3735.701 	3672.448 	3276.400 	3164.606 	3123.192 	3252.741 	3259.544 	3482.991 	3371.976 	3299.005 	2807.396 
A,GAE,O4000XBIO,KTOE,HU	7160.626 	6798.546 	6477.385 	6076.677 	5864.422 	6581.541 	7031.054 	6975.893 	7550.816 	8063.845 	8178.523 	7472.440 
