freq,siec,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,G3000,PC,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,PC,AT	80.582 	72.177 	72.239 	80.219 	79.901 	88.453 	88.199 	82.665 	88.464 	86.896 	75.284 	104.320 	87.297 	74.713 	98.277 	72.601 	85.895 	90.221 	88.160 	122.849 	73.247 
A,G3000,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.000 	100.000 	100.000 	100.000 	100.011 	100.000 	100.000 
A,G3000,PC,BE	99.321 	99.653 	102.055 	98.897 	99.925 	100.517 	99.803 	99.473 	100.399 	99.311 	100.269 	100.501 	98.614 	100.516 	101.176 	99.324 	100.559 	98.410 	100.551 	101.797 	99.132 
A,G3000,PC,BG	93.542 	99.739 	103.995 	94.247 	95.835 	87.653 	89.935 	91.462 	96.232 	98.620 	92.636 	86.088 	83.338 	92.825 	94.067 	97.007 	96.452 	97.609 	98.729 	100.398 	96.420 
A,G3000,PC,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,PC,CZ	99.758 	96.317 	102.001 	98.163 	91.092 	97.807 	104.445 	93.439 	98.668 	104.009 	84.838 	110.225 	88.993 	100.216 	96.272 	95.089 	95.707 	101.857 	96.838 	109.753 	86.038 
A,G3000,PC,DE	79.141 	76.989 	79.490 	78.669 	83.749 	79.632 	81.956 	77.710 	82.233 	85.762 	81.213 	86.754 	85.687 	86.921 	89.426 	90.057 	88.560 	91.373 	95.893 	100.068 	89.104 
A,G3000,PC,DK	-64.787 	-65.956 	-64.496 	-55.666 	-79.662 	-113.888 	-103.337 	-99.698 	-120.970 	-91.842 	-68.334 	-55.119 	-53.133 	-23.231 	-46.864 	-48.153 	-44.595 	-56.066 	-38.494 	-7.164 	37.417 
A,G3000,PC,EA19	68.828 	65.048 	69.545 	69.865 	69.678 	72.274 	74.611 	71.909 	73.042 	73.981 	70.702 	74.558 	71.893 	70.175 	74.587 	78.291 	78.407 	83.044 	87.211 	91.864 	86.774 
A,G3000,PC,EE	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 
A,G3000,PC,EL	99.062 	99.215 	97.416 	98.809 	97.534 	99.094 	99.063 	99.130 	100.010 	99.728 	99.882 	100.031 	100.321 	99.950 	99.288 	99.877 	99.218 	100.509 	100.665 	98.987 	100.694 
A,G3000,PC,ES	101.628 	96.505 	100.951 	99.136 	97.790 	101.355 	101.325 	99.121 	100.937 	98.896 	99.424 	101.613 	98.246 	98.621 	103.536 	96.890 	98.742 	101.292 	101.419 	101.495 	97.474 
A,G3000,PC,EU27_2020	65.721 	62.501 	66.701 	67.344 	66.769 	68.986 	71.235 	68.666 	70.137 	70.679 	67.763 	71.625 	69.243 	68.279 	71.914 	74.492 	75.692 	80.190 	83.258 	89.633 	83.597 
A,G3000,PC,FI	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	98.890 	100.253 	100.563 	100.293 
A,G3000,PC,FR	100.034 	93.085 	98.017 	95.465 	96.316 	99.256 	99.614 	96.475 	97.792 	100.861 	92.810 	103.328 	96.807 	97.909 	103.820 	98.506 	98.980 	98.030 	104.715 	104.466 	94.720 
A,G3000,PC,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.730 	99.552 	99.548 	99.720 	99.652 	99.576 	99.643 	99.671 
A,G3000,PC,HR	40.964 	29.557 	24.888 	27.624 	23.461 	23.697 	8.023 	9.175 	16.564 	8.087 	18.063 	19.510 	37.047 	31.827 	28.593 	27.101 	33.519 	53.804 	53.272 	66.406 	68.774 
A,G3000,PC,HU	75.415 	72.668 	80.522 	83.625 	79.217 	81.094 	82.195 	79.939 	88.125 	85.629 	78.715 	65.568 	72.274 	72.126 	97.666 	69.674 	78.882 	96.250 	77.943 	115.206 	75.622 
A,G3000,PC,IE	72.109 	81.622 	81.582 	85.788 	81.200 	86.101 	90.978 	92.137 	92.210 	93.990 	95.279 	95.563 	95.211 	96.296 	96.236 	96.326 	40.030 	32.681 	38.781 	52.993 	63.742 
A,G3000,PC,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,PC,IT	81.132 	77.127 	84.077 	80.345 	83.754 	84.697 	91.178 	87.025 	90.309 	88.595 	90.512 	90.154 	90.217 	88.110 	89.676 	90.406 	91.761 	92.317 	92.866 	95.057 	92.848 
A,G3000,PC,LT	100.040 	99.925 	99.926 	100.035 	99.794 	100.651 	101.033 	102.904 	96.302 	100.370 	99.708 	100.267 	100.061 	100.038 	104.135 	99.706 	100.605 	99.320 	98.920 	99.965 	98.929 
