freq,siec,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,G3000,RU,MIO_M3,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,RU,MIO_M3,AT	5275.000 	5221.000 	5350.000 	6407.000 	6467.000 	6978.000 	6173.000 	5709.000 	5811.000 	7315.000 	7922.000 	8537.000 	8950.000 	6562.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,RU,MIO_M3,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	186.000 	218.000 	227.000 	245.000 	244.604 	230.980 	210.686 
A,G3000,RU,MIO_M3,BE	0.000 	0.000 	0.000 	0.000 	401.000 	884.000 	738.000 	825.000 	885.000 	511.000 	477.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	328.300 	1900.800 	1409.800 
A,G3000,RU,MIO_M3,BG	3384.000 	3367.000 	3074.000 	2895.000 	2960.000 	3014.000 	3195.000 	3370.000 	3432.000 	2604.000 	2608.000 	2764.000 	2485.000 	2698.000 	2683.000 	3010.000 	3094.000 	3268.781 	3111.458 	2342.221 	2201.204 
A,G3000,RU,MIO_M3,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,RU,MIO_M3,CZ	7216.000 	7168.000 	7108.000 	7021.000 	6485.000 	7119.000 	7274.000 	6551.000 	6620.000 	5670.000 	7453.000 	9041.000 	7468.000 	8464.000 	6550.000 	7460.000 	8121.000 	8817.000 	7968.390 	9507.601 	7589.967 
A,G3000,RU,MIO_M3,DE	34664.000 	32945.000 	33324.000 	33080.000 	37664.000 	38225.000 	38229.000 	37550.000 	38772.000 	29516.000 	33996.000 	32859.000 	32632.000 	39977.000 	37201.000 	43626.000 	58671.000 	62079.783 	43108.053 	46249.986 	52463.565 
A,G3000,RU,MIO_M3,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,RU,MIO_M3,EA19	91144.000 	86674.000 	88798.000 	91333.000 	98434.000 	104036.000 	100952.000 	98555.000 	100895.000 	86384.000 	87502.000 	89246.661 	87320.628 	105431.315 	88092.893 	98430.536 	119974.988 	128688.555 	120719.998 	128702.567 	122943.872 
