freq,siec,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,O4000,TOTAL,THS_T,AL	753.000 	824.000 	1062.000 	1028.000 	1053.000 	1086.000 	915.000 	970.000 	1074.000 	1121.000 	1093.000 	1170.000 	982.000 	1498.000 	1485.000 	1193.000 	1208.000 	1142.240 	1075.330 	1130.388 	1103.694 
A,O4000,TOTAL,THS_T,AT	12257.000 	13176.000 	13823.000 	14504.000 	14894.000 	15251.367 	15419.444 	14788.690 	14909.733 	13927.686 	14071.803 	13700.758 	13659.872 	13981.485 	13672.744 	14185.074 	14130.469 	14205.570 	15006.069 	15326.213 	13759.079 
A,O4000,TOTAL,THS_T,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1691.000 	1807.000 	1999.000 	1946.000 	1825.219 	1553.437 	1520.592 
A,O4000,TOTAL,THS_T,BE	52665.000 	51497.000 	52475.000 	55965.000 	57655.000 	58281.000 	56358.000 	56209.000 	58935.000 	53951.200 	56423.300 	53863.800 	54155.000 	56422.900 	58143.800 	59216.700 	58180.800 	62879.200 	64716.200 	62916.700 	52845.900 
A,O4000,TOTAL,THS_T,BG	6047.000 	6305.000 	6079.000 	6262.000 	6697.000 	7780.000 	8848.000 	8864.000 	8713.000 	7761.000 	7731.000 	7336.000 	8116.000 	8353.000 	8110.000 	8972.000 	9053.000 	9551.151 	8048.519 	9257.522 	7144.502 
A,O4000,TOTAL,THS_T,CY	2572.000 	2498.000 	2603.000 	2670.000 	2434.000 	2828.000 	2989.000 	2911.000 	3074.000 	2918.000 	2947.000 	2663.000 	2630.000 	2335.000 	2299.000 	2468.000 	2625.000 	2650.977 	2600.472 	2600.191 	2264.783 
A,O4000,TOTAL,THS_T,CZ	8554.000 	9396.000 	9291.000 	9570.000 	9868.000 	10917.000 	10735.000 	10525.000 	11068.000 	10271.000 	10495.000 	10132.000 	10099.000 	9923.000 	10764.000 	11057.000 	10210.000 	11682.000 	11853.000 	11785.000 	10391.000 
A,O4000,TOTAL,THS_T,DE	145855.000 	148840.000 	141235.000 	142550.000 	144196.000 	147275.000 	146724.000 	135439.000 	140046.000 	130947.000 	128835.000 	123500.000 	125662.000 	128216.000 	126436.000 	128711.000 	130004.000 	131803.000 	125546.000 	128127.000 	117558.000 
A,O4000,TOTAL,THS_T,DK	10214.000 	9404.000 	8647.000 	8367.000 	8714.000 	8709.000 	8298.000 	8079.000 	9602.000 	8773.000 	9451.000 	9464.000 	9979.000 	12286.000 	11892.000 	13901.916 	13094.185 	10461.818 	10803.438 	12247.791 	11653.343 
A,O4000,TOTAL,THS_T,EA19	702685.963 	709842.447 	705063.650 	722498.725 	744887.177 	763663.793 	767939.074 	745578.409 	756104.231 	719975.315 	724688.658 	706402.227 	706069.474 	699183.499 	688678.898 	731185.777 	734332.177 	746989.901 	733019.043 	725840.503 	632503.063 
